X,Y,Cu_ppm,Fe2O3_%,Au_ppb,Predicted_Cu_ppm,Predicted_Fe2O3_%,Predicted_Au_ppb
77.212963,15.563063,25.4,4.47,1.5,23.842999999999982,4.540100000000002,1.5
77.231481,15.563063,22.8,4.34,1.5,24.270999999999994,4.480199999999995,1.5
77.25,15.563063,26.6,4.74,1.5,26.398000000000007,4.460699999999999,2.435
77.009259,15.581081,28.6,6.1,1.5,27.139999999999965,5.799200000000005,1.5
77.027778,15.581081,26.5,4.95,1.5,23.32799999999999,4.834699999999999,1.5
77.046296,15.581081,21.5,4.81,1.5,26.04999999999999,5.523799999999998,1.5
77.175926,15.171644,30.0,4.08,1.5,27.21,4.381699999999998,1.5
77.064815,15.581081,29.9,5.91,1.5,29.014,5.8644,1.5
77.083333,15.581081,30.5,6.31,1.5,30.005000000000006,6.067199999999996,1.5
77.101852,15.581081,27.6,4.92,1.5,27.709999999999972,5.290300000000003,1.5
77.12037,15.581081,22.7,4.35,1.5,24.106999999999985,4.6607000000000065,1.5
77.138889,15.581081,29.7,5.7,1.5,28.315999999999978,5.4474,1.5
77.157407,15.581081,30.2,5.8,1.5,29.685999999999975,5.761,1.5
77.175926,15.581081,32.9,6.01,1.5,29.87500000000003,5.657499999999999,1.5
77.194444,15.581081,32.2,6.1,1.5,29.37999999999998,5.531500000000007,1.5
77.212963,15.581081,17.7,4.16,1.5,20.893000000000026,4.485600000000007,1.5
77.231481,15.581081,25.5,5.01,1.5,24.494000000000007,4.748899999999997,1.5
77.25,15.581081,24.7,4.56,1.5,25.348,4.366700000000002,1.83
77.009259,15.599099,29.4,5.15,1.5,21.61000000000001,5.001000000000006,1.5
77.027778,15.599099,13.8,2.86,1.5,18.550999999999984,3.813100000000004,1.5
77.046296,15.599099,26.7,5.64,1.5,25.703999999999994,5.547099999999995,1.5
77.064815,15.599099,28.8,5.98,1.5,28.682000000000006,5.871500000000003,1.5
77.083333,15.599099,31.1,6.41,1.5,30.177999999999965,6.264100000000003,1.5
77.101852,15.599099,30.5,6.35,1.5,28.39899999999999,5.868100000000007,1.5
77.12037,15.599099,22.1,4.0,1.5,23.458999999999975,4.388600000000002,1.5
77.138889,15.599099,26.1,4.93,1.5,25.896999999999977,4.951800000000006,1.5
77.157407,15.599099,27.4,5.1,1.5,26.27300000000002,4.9903000000000075,1.5
77.175926,15.599099,20.0,4.18,1.5,22.866000000000014,4.435500000000004,1.5
77.157407,15.277027,26.9,4.37715,1.5,25.44300000000003,4.275456500000005,1.965
77.175926,15.277027,22.0,3.88725,1.5,23.41900000000001,4.081059499999998,1.595
